pixels,widths,hights
8216,79,104
8439,87,97
7680,80,96
9718,86,113
8175,75,109
12342,102,121
7680,80,96
13440,105,128
7680,80,96
13362,102,131
7410,78,95
7777,77,101
13860,105,132
7410,78,95
7600,76,100
8184,88,93
10752,84,128
13566,102,133
7505,79,95
7600,76,100
7416,72,103
13300,100,133
7410,78,95
7008,73,96
7272,72,101
13034,98,133
7410,78,95
7104,74,96
7272,72,101
12901,97,133
7315,77,95
7178,74,97
7238,77,94
7350,75,98
8085,77,105
7161,77,93
7448,76,98
7650,75,102
11160,90,124
7238,77,94
7448,76,98
7227,73,99
11718,93,126
7410,78,95
7030,74,95
12740,98,130
6900,75,92
13362,102,131
6497,73,89
8366,89,94
10965,85,129
13596,103,132
5950,70,85
13860,105,132
6424,73,88
13992,106,132
6916,76,91
20413,149,137
14124,107,132
7161,77,93
27680,173,160
14124,107,132
7084,77,92
31293,183,171
14231,107,133
7084,77,92
7296,76,96
30430,179,170
12827,101,127
7084,77,92
10856,92,118
33115,185,179
13029,101,129
7084,77,92
11780,95,124
36864,192,192
12250,98,125
7426,79,94
11780,95,124
39592,196,202
11186,94,119
7254,78,93
11532,93,124
8277,89,93
