pixels,widths,hights
24528,112,219
7068,76,93
8034,78,103
6512,74,88
7752,76,102
6351,73,87
7676,76,101
6205,73,85
7777,77,101
6450,75,86
7600,76,100
6699,77,87
6699,77,87
7544,82,92
6966,86,81
6942,78,89
7719,83,93
7110,79,90
6776,77,88
6525,75,87
6237,81,77
6365,67,95
6348,69,92
6324,68,93
6324,68,93
6256,68,92
7134,87,82
7548,74,102
6164,67,92
6164,67,92
7313,71,103
7038,69,102
7350,75,98
7826,91,86
8364,82,102
6862,73,94
6624,72,92
6900,75,92
7084,92,77
6035,71,85
8272,94,88
6720,70,96
6035,71,85
6734,74,91
6660,74,90
6570,73,90
6408,72,89
6480,72,90
6480,72,90
8099,89,91
8010,89,90
8280,92,90
8640,96,90
8099,89,91
25740,117,220
8099,89,91
25506,117,218
8277,89,93
6688,76,88
8460,90,94
9207,99,93
8370,90,93
6336,72,88
2684,44,61
25288,116,218
7448,76,98
25623,117,219
25404,116,219
25724,118,218
9792,102,96
5928,76,78
9306,94,99
6391,77,83
5920,80,74
7220,76,95
7296,76,96
10864,97,112
25606,118,217
19118,121,158
9120,95,96
9894,102,97
24840,115,216
26040,120,217
25172,116,217
5183,71,73
5112,71,72
6162,79,78
2720,40,68
5772,78,74
5767,79,73
6000,80,75
10197,103,99
6232,82,76
13485,93,145
13299,93,143
5688,79,72
5846,79,74
6075,81,75
6000,80,75
5772,78,74
5772,78,74
5621,77,73
10094,103,98
5616,78,72
24955,115,217
6318,81,78
7992,74,108
6992,92,76
5695,67,85
21620,115,188
5762,67,86
18725,107,175
19008,108,176
20832,112,186
6003,69,87
9996,102,98
21357,113,189
6461,71,91
18304,104,176
19688,107,184
18054,102,177
14787,93,159
13680,90,152
12814,86,149
13112,88,149
14820,95,156
16728,102,164
9996,102,98
17430,105,166
16300,100,163
15876,98,162
15105,95,159
18304,104,176
19398,106,183
18360,102,180
16490,97,170
7030,74,95
18849,103,183
7524,76,99
17700,100,177
14880,93,160
5150,50,103
4944,48,103
5865,69,85
6580,70,94
6580,70,94
6510,70,93
6580,70,94
4896,48,102
6674,71,94
4896,48,102
6816,71,96
6674,71,94
4896,48,102
6674,71,94
4896,48,102
6674,71,94
4896,48,102
6840,72,95
4896,48,102
6840,72,95
4896,48,102
6840,72,95
4848,48,101
6768,72,94
5096,49,104
6768,72,94
4896,48,102
6768,72,94
4896,48,102
6768,72,94
5096,49,104
6768,72,94
5096,49,104
6768,72,94
5200,50,104
6768,72,94
5096,49,104
6768,72,94
5096,49,104
4998,49,102
4998,49,102
5047,49,103
5047,49,103
6003,69,87
6072,69,88
6141,69,89
5934,69,86
5934,69,86
5984,68,88
5865,69,85
5796,69,84
5762,67,86
5848,68,86
5848,68,86
11557,91,127
5780,68,85
6862,73,94
5712,68,84
6882,74,93
5712,68,84
6862,73,94
5712,68,84
6862,73,94
5780,68,85
6840,72,95
5712,68,84
6497,73,89
5712,68,84
5561,67,83
6840,72,95
5561,67,83
11792,88,134
6745,71,95
5780,68,85
11792,88,134
24080,112,215
6650,70,95
5780,68,85
11484,87,132
24304,112,217
6650,70,95
6020,70,86
11266,86,131
24304,112,217
6580,70,94
6090,70,87
8288,74,112
24192,112,216
6650,70,95
6177,71,87
8066,74,109
23976,111,216
16102,97,166
6486,69,94
7238,77,94
8624,77,112
23976,111,216
6030,67,90
6106,71,86
9396,81,116
23976,111,216
6408,72,89
6580,70,94
6264,72,87
10080,84,120
23976,111,216
22572,114,198
6650,70,95
5796,69,84
10115,85,119
23865,111,215
22487,113,199
5896,67,88
5135,65,79
9184,82,112
23865,111,215
18564,102,182
4466,58,77
5427,67,81
8586,81,106
24192,112,216
17444,98,178
3763,53,71
7254,78,93
9180,85,108
24192,112,216
17738,98,181
7680,80,96
9968,89,112
24408,113,216
16450,94,175
8200,82,100
11328,96,118
24521,113,217
14774,89,166
8670,85,102
12200,100,122
24521,113,217
13674,86,159
8217,83,99
12524,101,124
24634,113,218
13114,83,158
8772,86,102
12852,102,126
24634,113,218
13188,84,157
9603,97,99
6480,72,90
8232,84,98
13208,104,127
24966,114,219
13588,86,158
9215,95,97
8134,83,98
13125,105,125
24634,113,218
13588,86,158
8134,83,98
12810,105,122
24634,113,218
13746,87,158
8134,83,98
12376,104,119
24634,113,218
13659,87,157
8051,83,97
12272,104,118
24521,113,217
13588,86,158
7020,78,90
12168,104,117
24634,113,218
13430,85,158
6364,74,86
11960,104,115
24416,112,218
15210,90,169
6351,73,87
11856,104,114
24634,113,218
17290,95,182
5810,70,83
11752,104,113
24416,112,218
17575,95,185
5214,66,79
11330,103,110
16833,93,181
6461,71,91
5005,65,77
11227,103,109
15224,88,173
5005,65,77
10918,103,106
19110,98,195
4875,65,75
11988,108,111
21321,103,207
6555,69,95
6764,76,89
11556,107,108
17391,93,187
6486,69,94
7020,78,90
11990,110,109
12956,82,158
6486,69,94
6930,77,90
13340,116,115
6392,68,94
6930,77,90
13340,116,115
6392,68,94
6930,77,90
12432,112,111
6392,68,94
7098,78,91
11990,110,109
6324,68,93
7007,77,91
11772,109,108
8835,95,93
6324,68,93
6853,77,89
11772,109,108
6231,67,93
6853,77,89
11772,108,109
6324,68,93
6776,77,88
11663,107,109
6164,67,92
6699,77,87
11988,108,111
6256,68,92
6699,77,87
12882,113,114
6256,68,92
6699,77,87
13225,115,115
6097,67,91
6622,77,86
12882,114,113
5655,65,87
6864,78,88
13225,115,115
5525,65,85
7280,80,91
14042,118,119
5022,62,81
7452,81,92
14632,118,124
8742,94,93
5022,62,81
7452,81,92
15104,118,128
4758,61,78
7719,83,93
15093,117,129
4898,62,79
7626,82,93
14950,115,130
5120,64,80
7626,82,93
